full_name,email,address
Melody Bowman,melody.bowman@gmail.com,"4500 Margalo Avenue, Bakersfield, CA 93313"
Oswaldo Hinton,oswaldo.hinton@gmail.com,"7800 River Mist Avenue, Bakersfield, CA 93313"
Tony Jensen,tony.jensen@gmail.com,"21950 Arnold Center Road, Carson, CA 90810"
Crystal Marek,crystal.marek@gmail.com,"10202 Vista Drive, Cupertino, CA 95014"
Timothy Barney,timothy.barney@gmail.com,"5397 Wentworth Avenue, Oakland, CA 94601"
Gregory Garza,gregory.garza@gmail.com,"2708 Mabel Street, Berkeley, CA 94702"
Jeff Durgin,jeff.durgin@gmail.com,"26466 Mockingbird Lane, Hayward, CA 94544"
Leonora Holcomb,leonora.holcomb@gmail.com,"2443 Sierra Nevada Road, Mammoth Lakes, CA 93546"
Alvin Gonzales,alvin.gonzales@gmail.com,"3027 Badger Drive, Pleasanton, CA 94566"
Anne Clouse,anne.clouse@gmail.com,"1 Kelton Court, Oakland, CA 94611"
Jason Sawicki,jason.sawicki@gmail.com,"649 Praderia Circle, Fremont, CA 94539"
Peter Doherty,peter.doherty@gmail.com,"680 Quintana Road, Morro Bay, CA 93442"
Chris Whetstone,chris.whetstone@gmail.com,"2747 68th Avenue, Oakland, CA 94605"
Jaime Hefner,jaime.hefner@gmail.com,"1234 Carmel Street, Madera, CA 93638"
Mark Norris,mark.norris@gmail.com,"2755 Country Drive, Fremont, CA 94536"
Jackie Andrews,jackie.andrews@gmail.com,"36360 Beech Place, Newark, CA 94560"
Edna Madden,edna.madden@gmail.com,"514 Flower Lane, Alameda, CA 94502"
Bobby Alexander,bobby.alexander@gmail.com,"1357 Addison Street, Berkeley, CA 94702"
Pauline Giles,pauline.giles@gmail.com,"8934 Arrowrock Trail, Smartsville, CA 95977"
Patrick White,patrick.white@gmail.com,"2409 Park Street, Selma, CA 93662"
Robert Costa,robert.costa@gmail.com,"4920 Quonset Drive, Sacramento, CA 95820"
Mario Fuentes,mario.fuentes@gmail.com,"12091 Mierkey Road, Jackson, CA 95642"
Gail Commander,gail.commander@gmail.com,"5725 Medallion Court, Castro Valley, CA 94552"
Lisa Cummings,lisa.cummings@gmail.com,"894 Windmill Park Lane, Mountain View, CA 94043"
Christina Nance,christina.nance@gmail.com,"1300 Lemos Lane, Fremont, CA 94539"
